1779394036.6814225,192.168.56.106,192.168.56.104,98,0,98,BACKWARD
1779394036.6815927,192.168.56.104,192.168.56.106,0,0,98,FORWARD
1779394037.6817653,192.168.56.106,192.168.56.104,98,1.0001726150512695,98,BACKWARD
1779394037.6818194,192.168.56.104,192.168.56.106,0,0,98,FORWARD
1779394038.719027,192.168.56.106,192.168.56.104,98,1.0372076034545898,98,BACKWARD
1779394038.7190652,192.168.56.104,192.168.56.106,0,0,98,FORWARD
1779394039.727972,192.168.56.106,192.168.56.104,98,1.0089068412780762,98,BACKWARD
1779394039.7280705,192.168.56.104,192.168.56.106,0,0,98,FORWARD
1779394040.7303545,192.168.56.106,192.168.56.104,98,1.002284049987793,98,BACKWARD
1779394040.7303972,192.168.56.104,192.168.56.106,0,0,98,FORWARD
1779394041.7418773,192.168.56.106,192.168.56.104,98,1.0114800930023193,98,BACKWARD
1779394041.7419481,192.168.56.104,192.168.56.106,0,0,98,FORWARD
1779394042.7431154,192.168.56.106,192.168.56.104,98,1.0011672973632812,98,BACKWARD
1779394042.7431927,192.168.56.104,192.168.56.106,0,0,98,FORWARD
1779394043.7430665,192.168.56.106,192.168.56.104,98,0,98,BACKWARD
1779394043.7431293,192.168.56.104,192.168.56.106,0,0,98,FORWARD
1779394044.8054497,192.168.56.106,192.168.56.104,98,1.0623204708099365,98,BACKWARD
1779394044.8055084,192.168.56.104,192.168.56.106,0,0,98,FORWARD
1779394045.804807,192.168.56.106,192.168.56.104,98,0,98,BACKWARD
1779394045.804869,192.168.56.104,192.168.56.106,0,0,98,FORWARD
1779394046.8242106,192.168.56.106,192.168.56.104,98,1.0193417072296143,98,BACKWARD
1779394046.8242693,192.168.56.104,192.168.56.106,0,0,98,FORWARD
1779394047.8315184,192.168.56.106,192.168.56.104,98,1.007249116897583,98,BACKWARD
1779394047.8315666,192.168.56.104,192.168.56.106,0,0,98,FORWARD
1779394048.8324354,192.168.56.106,192.168.56.104,98,1.000868797302246,98,BACKWARD
1779394048.8325026,192.168.56.104,192.168.56.106,0,0,98,FORWARD
1779394049.8323658,192.168.56.106,192.168.56.104,98,0,98,BACKWARD
1779394049.8324096,192.168.56.104,192.168.56.106,0,0,98,FORWARD
1779394050.886175,192.168.56.1,224.0.0.22,0,1.0537652969360352,60,OTHER
1779394050.9054084,192.168.56.1,224.0.0.22,0,0,60,OTHER
1779394051.2803626,192.168.56.1,224.0.0.22,0,0,60,OTHER
1779394051.315628,192.168.56.1,224.0.0.252,0,0,75,OTHER
1779394051.7258954,192.168.56.1,224.0.0.22,0,0,60,OTHER
1779394051.7264373,192.168.56.1,224.0.0.22,0,0,60,OTHER
1779394051.7809904,192.168.56.1,224.0.0.22,0,0,60,OTHER
1779394052.1365962,192.168.56.1,224.0.0.252,0,0,75,OTHER
